文件名,方块ID 中文名,匹配方式
aluminum1_emi.png,175 铝矿,贴图列+数字_emi
aluminum1_x.png,175 铝矿,贴图列+数字_x
aluminum1_y.png,175 铝矿,贴图列+数字_y
aluminum1_z.png,175 铝矿,贴图列+数字_z
aluminum2.png,175 铝矿,贴图列+2
aluminum2_emi.png,175 铝矿,贴图列+数字_emi
aluminum2_x.png,175 铝矿,贴图列+数字_x
aluminum2_y.png,175 铝矿,贴图列+数字_y
aluminum2_z.png,175 铝矿,贴图列+数字_z
aluminum3.png,175 铝矿,贴图列+3
aluminum3_emi.png,175 铝矿,贴图列+数字_emi
aluminum3_x.png,175 铝矿,贴图列+数字_x
aluminum3_y.png,175 铝矿,贴图列+数字_y
aluminum3_z.png,175 铝矿,贴图列+数字_z
aluminum_proto.png,175 铝矿,贴图列+_proto
aluminum_proto_emi.png,175 铝矿,贴图列+_proto
and_gate_off.png,354 与门,贴图列精确
and_gate_off_mix.png,354 与门,贴图列+_mix
and_gate_on.png,354 与门,贴图列精确
and_gate_on_emi.png,354 与门,贴图列+_emi
and_gate_on_mix.png,354 与门,贴图列+_mix
anvil_s0.png,,
anvil_s1.png,,
anvil_s2.png,,
aquatic_plants1.png,,
aquatic_plants2.png,,
arableland_dry.png,102 耕地,贴图列+_dry
arableland_dry_mix.png,102 耕地,贴图列+_dry
arableland_side_dry.png,102 耕地,贴图列+_side
arableland_side_dry_mix.png,102 耕地,贴图列+_side
arableland_side_wet.png,102 耕地,贴图列+_side
arableland_side_wet_mix.png,102 耕地,贴图列+_side
arableland_wet.png,102 耕地,贴图列+_wet
arableland_wet_mix.png,102 耕地,贴图列+_wet
arborfruit.png,379 乔木果实方块,贴图列精确
areacopy.png,1062 区域复制方块; 201008 区域复制器方块,贴图列精确
areacopy_off.png,1062 区域复制方块; 201008 区域复制器方块,贴图列+_off
areacopy_on.png,1062 区域复制方块; 201008 区域复制器方块,贴图列精确
bag.png,1057 宇宙大礼包,贴图列精确
baiyangmugs.png,331 白杨木果实,贴图列精确
bakingoven.png,201011 烘焙箱,贴图列精确
bakingoven_mix.png,201011 烘焙箱,贴图列+_mix
bakingoven_on.png,201011 烘焙箱,贴图列+_on
bakingoven_on_emi.png,201011 烘焙箱,贴图列+_on
bakingoven_on_mix.png,201011 烘焙箱,贴图列+_on
balancebeam.png,201650 平衡木,贴图列精确
balancebeam_mix.png,201650 平衡木,贴图列+_mix
ball_hinge.png,1158 球铰链方块,贴图列精确
ballbean.png,,
bamboo_planks.png,251 竹子; 253 竹笋; 1148 游戏版本过低; 1149 游戏版本过低; 1152 工具模式预览方块; 1760 魔法床; 1761 魔法沙发; 1762 魔法书桌; 1763 魔法餐桌; 1764 魔法茶几; 1765 魔法洗手台; 1766 魔法椅子; 1767 魔法马桶; 1768 魔法浴缸; 1769 魔法衣柜; 1770 魔法橱柜; 1771 魔法半格橱柜; 1772 魔法组合柜; 1773 魔法屏风; 1774 魔法立体灯; 1775 魔法吊灯; 1776 魔法壁灯; 1777 魔法门; 1778 魔法窗; 1779 魔法楼梯; 1780 魔法墙砖; 1781 魔法砖; 1782 魔法半砖; 1783 魔法围栏; 1784 魔法地毯; 1785 魔法雕塑; 1786 魔法壁画; 1787 游戏版本过低; 1789 游戏版本过低; 1790 游戏版本过低; 1791 游戏版本过低; 1792 游戏版本过低; 1793 游戏版本过低; 1794 游戏版本过低; 1795 游戏版本过低,贴图列精确
bamboo_planks_mix.png,251 竹子; 253 竹笋; 1148 游戏版本过低; 1149 游戏版本过低; 1152 工具模式预览方块; 1760 魔法床; 1761 魔法沙发; 1762 魔法书桌; 1763 魔法餐桌; 1764 魔法茶几; 1765 魔法洗手台; 1766 魔法椅子; 1767 魔法马桶; 1768 魔法浴缸; 1769 魔法衣柜; 1770 魔法橱柜; 1771 魔法半格橱柜; 1772 魔法组合柜; 1773 魔法屏风; 1774 魔法立体灯; 1775 魔法吊灯; 1776 魔法壁灯; 1777 魔法门; 1778 魔法窗; 1779 魔法楼梯; 1780 魔法墙砖; 1781 魔法砖; 1782 魔法半砖; 1783 魔法围栏; 1784 魔法地毯; 1785 魔法雕塑; 1786 魔法壁画; 1787 游戏版本过低; 1789 游戏版本过低; 1790 游戏版本过低; 1791 游戏版本过低; 1792 游戏版本过低; 1793 游戏版本过低; 1794 游戏版本过低; 1795 游戏版本过低,贴图列+_mix
bamboo_small.png,,
banana.png,385 香蕉方块,贴图列精确
banana_mix.png,385 香蕉方块,贴图列+_mix
banana_tree.png,385 香蕉方块,贴图列+_tree
barley.png,1527 青稞,贴图列精确
barleywheat.png,1511 大麦,贴图列精确
base_bed.png,200003 木床,贴图列精确
base_bed_mix.png,200003 木床,贴图列+_mix
base_bench.png,200375 木板凳,贴图列精确
base_bench_mix.png,200375 木板凳,贴图列+_mix
base_cabinet.png,200379 木柜子,贴图列精确
base_cabinet_mix.png,200379 木柜子,贴图列+_mix
base_candle.png,200371 蜡烛灯,贴图列精确
base_candle_mix.png,200371 蜡烛灯,贴图列+_mix
base_fireplace.png,200378 壁炉,贴图列精确
base_fireplace_matcap.png,200378 壁炉,贴图列+_matcap
base_fireplace_mix.png,200378 壁炉,贴图列+_mix
base_gearrack.png,200006 装备架,贴图列精确
base_gearrack_mix.png,200006 装备架,贴图列+_mix
base_sofa.png,200377 木沙发,贴图列精确
base_sofa_mix.png,200377 木沙发,贴图列+_mix
base_table.png,200376 木桌子,贴图列精确
base_table_mix.png,200376 木桌子,贴图列+_mix
basictray.png,,
basictray_mix.png,,
basket.png,1068 篮筐方块,贴图列精确
basket_mix.png,1068 篮筐方块,贴图列+_mix
battlegroundblock.png,138 污染方块,贴图列精确
beam_line.png,351 光束线,贴图列精确
beam_line_emi.png,351 光束线,贴图列+_emi
beam_line_off.png,351 光束线,贴图列+_off
bed.png,,
bed1.png,883 精致木床,贴图列精确
bed1_mix.png,883 精致木床,贴图列+_mix
bed2.png,884 豪华木床,贴图列精确
bed2_emi.png,884 豪华木床,贴图列+_emi
bed2_mix.png,884 豪华木床,贴图列+_mix
bed3.png,885 公主床,贴图列精确
bed3_mix.png,885 公主床,贴图列+_mix
beet.png,1514 甜菜,贴图列精确
bell pepper.png,,
bellflowers.png,300 风铃花; 431 风铃花种子,贴图列精确
bellflowers_middle.png,300 风铃花; 431 风铃花种子,贴图列+_middle
bellflowers_seed.png,300 风铃花; 431 风铃花种子,贴图列+_seed
bellpepper.png,1532 圆椒,贴图列精确
beltbaffle.png,,
bg_paopao.png,,
bigmushroomstone.png,201908 大蘑晶石矿,贴图列精确
bigmushroomstone_emi.png,201908 大蘑晶石矿,贴图列+_emi
bigmushroomstone_mix.png,201908 大蘑晶石矿,贴图列+_mix
bigwaterpipe.png,390110 粗水管,贴图列精确
bilu_wood.png,968 棕色壁炉; 973 白色壁炉; 978 黑色壁炉,贴图列精确
bilu_wood2.png,973 白色壁炉,贴图列精确
bilu_wood2_mix.png,973 白色壁炉,贴图列+_mix
bilu_wood3.png,978 黑色壁炉,贴图列精确
bilu_wood3_mix.png,978 黑色壁炉,贴图列+_mix
bilu_wood_mix.png,968 棕色壁炉; 973 白色壁炉; 978 黑色壁炉,贴图列+_mix
birdnest.png,1185 嘟嘟鸟窝,贴图列精确
birdnest_mix.png,1185 嘟嘟鸟窝,贴图列+_mix
black_white.png,983 黑白纹砖,贴图列精确
black_white_mix.png,983 黑白纹砖,贴图列+_mix
blackcrystal.png,112 黑晶石,贴图列精确
block.png,1997 自定义方块（基础渲染）; 1998 自定义方块; 1999 自定义模型（方块）; 2000 微缩模型; 20001 预制方块,贴图列精确
block_carrot_bottom.png,200228 胡萝卜块,贴图列+_bottom
block_carrot_bottom_mix.png,200228 胡萝卜块,贴图列+_bottom
block_carrot_side.png,200228 胡萝卜块,贴图列+_side
block_carrot_side_mix.png,200228 胡萝卜块,贴图列+_side
block_carrot_top.png,200228 胡萝卜块,贴图列+_top
block_carrot_top_mix.png,200228 胡萝卜块,贴图列+_top
block_grape_bottom.png,200230 葡萄块,贴图列+_bottom
block_grape_bottom_mix.png,200230 葡萄块,贴图列+_bottom
block_grape_side.png,200230 葡萄块,贴图列+_side
block_grape_side_mix.png,200230 葡萄块,贴图列+_side
block_grape_top.png,200230 葡萄块,贴图列+_top
block_grape_top_mix.png,200230 葡萄块,贴图列+_top
block_pumpkin_bottom.png,200225 南瓜块,贴图列+_bottom
block_pumpkin_bottom_mix.png,200225 南瓜块,贴图列+_bottom
block_pumpkin_side.png,200225 南瓜块,贴图列+_side
block_pumpkin_side_mix.png,200225 南瓜块,贴图列+_side
block_pumpkin_top.png,200225 南瓜块,贴图列+_top
block_pumpkin_top_mix.png,200225 南瓜块,贴图列+_top
block_strawberry_bottom.png,200229 草莓块,贴图列+_bottom
block_strawberry_bottom_mix.png,200229 草莓块,贴图列+_bottom
block_strawberry_side.png,200229 草莓块,贴图列+_side
block_strawberry_side_mix.png,200229 草莓块,贴图列+_side
block_strawberry_top.png,200229 草莓块,贴图列+_top
block_strawberry_top_mix.png,200229 草莓块,贴图列+_top
block_tomato_bottom.png,200227 番茄块,贴图列+_bottom
block_tomato_bottom_mix.png,200227 番茄块,贴图列+_bottom
block_tomato_side.png,200227 番茄块,贴图列+_side
block_tomato_side_mi1x.png,200227 番茄块,贴图列+_side
block_tomato_top.png,200227 番茄块,贴图列+_top
block_tomato_top_mix.png,200227 番茄块,贴图列+_top
block_watermelon_bottom.png,200226 西瓜块,贴图列+_bottom
block_watermelon_bottom_mix.png,200226 西瓜块,贴图列+_bottom
block_watermelon_side.png,200226 西瓜块,贴图列+_side
block_watermelon_side_mix.png,200226 西瓜块,贴图列+_side
block_watermelon_top.png,200226 西瓜块,贴图列+_top
block_watermelon_top_mix.png,200226 西瓜块,贴图列+_top
blockclear.png,1003 游戏版本过低,贴图列精确
blockcopy_off.png,1000 方块复制器,贴图列精确
blockcopy_on.png,1002 方块复制器,贴图列精确
blockpedal_mix.png,,
blockpedal_off.png,1990 无线星能踏板,贴图列精确
blockpedal_on.png,,
blue_rock.png,200232 蘑古岩,贴图列精确
blue_rock_brick.png,160026 蘑古砖; 161015 蘑古砖薄板; 162016 蘑古砖竖薄板; 169015 蘑古砖楼梯,贴图列精确
blue_rock_brick_mix.png,160026 蘑古砖; 161015 蘑古砖薄板; 162016 蘑古砖竖薄板; 169015 蘑古砖楼梯,贴图列+_mix
blue_rock_cipher_brick.png,200237 密文蘑古砖,贴图列精确
blue_rock_cipher_brick_emi.png,200237 密文蘑古砖,贴图列+_emi
blue_rock_cipher_brick_mix.png,200237 密文蘑古砖,贴图列+_mix
blue_rock_half_brick.png,200238 竖纹蘑古砖,贴图列精确
blue_rock_half_brick_mix.png,200238 竖纹蘑古砖,贴图列+_mix
blue_rock_mix.png,200232 蘑古岩,贴图列+_mix
blue_rock_patterned_brick.png,200236 棱纹蘑古砖,贴图列精确
blue_rock_patterned_brick_mix.png,200236 棱纹蘑古砖,贴图列+_mix
blue_rock_striped_brick.png,200239 花横蘑古砖,贴图列精确
blue_rock_striped_brick_mix.png,200239 花横蘑古砖,贴图列+_mix
blueberry tree.png,,
blueberrygrass_bottom.png,1796 蓝莓草块,贴图列+_bottom
blueberrygrass_bottom_mix.png,1796 蓝莓草块,贴图列+_bottom
blueberrygrass_normal.png,1796 蓝莓草块,贴图列精确
blueberrygrass_normal_mix.png,1796 蓝莓草块,贴图列+_mix
blueberrygrass_top.png,1797 蓝莓土块,贴图列精确
blueberrygrass_top_mix.png,1797 蓝莓土块,贴图列+_mix
blueberrytree.png,1534 蓝莓,贴图列精确
bluefruite_lantern_bottom.png,816 巨布鲁果灯,贴图列+_bottom
bluefruite_lantern_side.png,816 巨布鲁果灯,贴图列+_side
bluefruite_lantern_side_emi.png,816 巨布鲁果灯,贴图列+_side
bluefruite_lantern_top.png,816 巨布鲁果灯,贴图列+_top
blueprint_construction.png,1064 蓝图图纸; 201010 蓝图施工台; 201012 蓝图施工台(自动); 202001 蓝图-冰原箭塔1; 202002 蓝图-冰原箭塔2; 202003 蓝图-冰原伐木场; 202004 蓝图-冰原小屋1; 202005 蓝图-冰原小屋2; 202006 蓝图-冰屋; 202007 蓝图-珊瑚岛小屋; 202008 蓝图-搁浅破船; 202009 蓝图-搁浅破船商店; 202010 蓝图-渔村小房子1; 202011 蓝图-渔村小房子2; 202012 蓝图-渔村小房子3; 202013 蓝图-渔村小房子4; 202014 蓝图-渔村小房子5; 202015 蓝图-沙漠房子1; 202016 蓝图-沙漠房子2; 202017 蓝图-沙漠房子3; 202018 蓝图-沙漠房子4; 202019 蓝图-沙漠房子5; 202020 蓝图-沙漠房子6; 202021 蓝图-风车1; 202022 蓝图-风车2; 202023 蓝图-风车3; 202024 蓝图-简易小屋; 202025 蓝图-草原小屋1; 202026 蓝图-草原小屋2; 202027 蓝图-草原小屋3; 202028 蓝图-温馨小屋1; 202029 蓝图-温馨小屋2; 202030 蓝图-温馨小屋3; 202031 蓝图-畜棚; 202032 蓝图-仓库; 202033 蓝图-简易农牧场; 202034 蓝图-中式小屋; 202035 蓝图-带派小院; 202036 蓝图-书中小屋,贴图列精确
blueprint_state.png,,
blueprint_workbench.png,1063 旧蓝图工作台; 201009 蓝图工作台,贴图列精确
blueprint_workbench_mix.png,1063 旧蓝图工作台; 201009 蓝图工作台,贴图列+_mix
board_cathaya.png,418 地板,贴图列精确
board_cathaya_mix.png,418 地板,贴图列+_mix
board_fruittree.png,419 秋叶橙地板,贴图列精确
board_fruittree_mix.png,419 秋叶橙地板,贴图列+_mix
board_redwood.png,420 海棠红地板,贴图列精确
board_redwood_mix.png,420 海棠红地板,贴图列+_mix
bomb.png,1016 单向大炸弹; 1017 单向小炸弹,贴图列精确
bomb1.png,1014 十字大炸弹; 1015 十字小炸弹,贴图列精确
bonfire.png,1200 篝火,贴图列精确
bonfire_emi.png,1200 篝火,贴图列+_emi
bonfire_mix.png,1200 篝火,贴图列+_mix
bonfire_off.png,1200 篝火,贴图列+_off
bonfire_off_mix.png,1200 篝火,贴图列+_off
book_cabinet.png,1144 书架,贴图列精确
book_cabinet_mix.png,1144 书架,贴图列+_mix
book_editortable.png,1143 编书台,贴图列精确
book_editortable_mix.png,1143 编书台,贴图列+_mix
bookcase.png,820 书柜,贴图列精确
bookcase_mix.png,820 书柜,贴图列+_mix
bookshelf.png,1677 简单书柜,贴图列精确
bookshelf_rgb.png,1677 简单书柜,贴图列+_rgb
boss1.png,200099 虚空幻影雕像,贴图列精确
boss1_emi.png,200099 虚空幻影雕像,贴图列+_emi
boss2.png,200097 远古黑龙雕像,贴图列精确
boss2_emi.png,200097 远古黑龙雕像,贴图列+_emi
boss3.png,200098 远古巨人雕像,贴图列精确
boss3_emi.png,200098 远古巨人雕像,贴图列+_emi
boss4.png,200100 冰陨巨魔雕像,贴图列精确
boss4_emi.png,200100 冰陨巨魔雕像,贴图列+_emi
boss5.png,200096 羽蛇神雕像,贴图列精确
boss5_emi.png,200096 羽蛇神雕像,贴图列+_emi
bostonivy.png,151027 爬山虎,贴图列精确
bougainvillea.png,150070 紫色三角梅; 150071 白色三角梅,贴图列精确
bougainvillea_ground_purple.png,150075 紫色地栽三角梅,贴图列精确
bougainvillea_ground_white.png,150076 白色地栽三角梅,贴图列精确
bougainvillea_purple_1.png,150070 紫色三角梅; 150071 白色三角梅,贴图列+_purple
bougainvillea_purple_2.png,150070 紫色三角梅; 150071 白色三角梅,贴图列+_purple
bougainvillea_white_1.png,150070 紫色三角梅; 150071 白色三角梅,贴图列+_white
bougainvillea_white_2.png,150070 紫色三角梅; 150071 白色三角梅,贴图列+_white
box1.png,730 沙漠宝箱; 734 普通宝箱; 757 藏宝图宝箱; 758 沉船宝箱; 759 沉船普通箱; 200423 刷怪房宝箱; 200424 刷怪房宝箱; 200425 刷怪房宝箱; 200426 刷怪房宝箱; 200427 刷怪房宝箱; 200428 陷阱房宝箱,贴图列精确
box2.png,735 精致宝箱,贴图列精确
box3.png,736 黄金宝箱,贴图列精确
branchlight.png,201649 树枝灯,贴图列精确
branchlight_emi.png,201649 树枝灯,贴图列+_emi
branchlight_mix.png,201649 树枝灯,贴图列+_mix
brass_block.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列精确
brass_block_matcap.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_matcap
brass_block_mix.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_mix
brass_block_snow_down_more.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_snow
brass_block_snow_horizontal_halftriangle.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_snow
brass_block_snow_side.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_snow
brass_block_snow_trapezoid_down.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_snow
brass_block_snow_trapezoid_up.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_snow
brass_block_snow_trapezoid_up_second.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_snow
brass_block_snow_triangle.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_snow
brass_block_snow_vertical_halftriangle.png,160 黄铜竖薄板; 456 黄铜块; 749 铜薄板; 753 铜楼梯; 1252 黄铜斜板; 1283 黄铜薄斜板; 1284 黄铜大薄斜板; 1327 黄铜竖薄斜板; 1328 黄铜竖大薄斜板; 1363 黄铜竖板; 150712 铜推手; 150713 铜拉手; 150717 铜钻头; 150753 传动蜗杆台; 170009 黄铜三棱柱; 171009 黄铜弧板; 172009 黄铜薄弧板; 173009 黄铜大薄弧板; 174009 黄铜竖薄弧板; 175009 黄铜大竖薄弧板; 176009 黄铜棱锥,贴图列+_snow
brass_fence.png,554 铜围栏,贴图列精确
brass_fence_matcap.png,554 铜围栏,贴图列+_matcap
brass_fence_mix.png,554 铜围栏,贴图列+_mix
brass_smelter.png,799 铜冶炼台,贴图列精确
brass_smelter_lit.png,799 铜冶炼台,贴图列+_lit
brass_smelter_lit_emi.png,799 铜冶炼台,贴图列+_lit
brass_smelter_lit_matcap.png,799 铜冶炼台,贴图列+_lit
brass_smelter_lit_mix.png,799 铜冶炼台,贴图列+_lit
brass_smelter_matcap.png,799 铜冶炼台,贴图列+_matcap
brass_smelter_mix.png,799 铜冶炼台,贴图列+_mix
